epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6923,1.84308,3.88008,1.38178,0.33259,0.29743,0.25314,0.16483,1.14466,2.61762,1.09845,0.000409605,0.000409605,0.000409605
2,68.3584,1.26821,1.64439,1.09984,0.58867,0.38183,0.4288,0.28783,1.13977,1.59644,1.1027,0.000809911,0.000809911,0.000809911
3,105.027,1.24151,1.47413,1.08858,0.68758,0.42101,0.51835,0.33904,1.15718,1.46085,1.14216,0.00119372,0.00119372,0.00119372
4,138.621,1.18623,1.33618,1.07697,0.73858,0.43104,0.54929,0.36476,1.14247,1.34757,1.13982,0.00117575,0.00117575,0.00117575
5,174.058,1.16757,1.2953,1.05207,0.49871,0.53734,0.53662,0.36569,1.07127,1.35468,1.04633,0.001151,0.001151,0.001151
6,206.504,1.11648,1.21708,1.03119,0.60882,0.61624,0.62101,0.44266,1.02166,1.12225,1.0415,0.00112625,0.00112625,0.00112625
7,241.379,1.07548,1.15096,1.01156,0.72559,0.59012,0.68054,0.4776,0.97631,1.06239,1.01641,0.0011015,0.0011015,0.0011015
8,276.987,1.09702,1.08626,1.00613,0.77838,0.65713,0.72558,0.51631,0.90817,0.97234,0.98295,0.00107675,0.00107675,0.00107675
9,310.569,1.02557,1.02213,1.00325,0.69032,0.66887,0.7018,0.50292,0.97439,0.96231,1.00669,0.001052,0.001052,0.001052
10,343.75,1.01294,0.98158,0.98548,0.82221,0.59879,0.72371,0.50906,0.94307,0.88947,1.0152,0.00102725,0.00102725,0.00102725
11,377.473,0.98727,0.97081,0.97718,0.78764,0.62261,0.72685,0.5242,0.89215,0.88783,0.97189,0.0010025,0.0010025,0.0010025
12,411.033,0.96105,0.93575,0.95625,0.72268,0.66522,0.72477,0.50045,0.9431,0.88047,0.9706,0.00097775,0.00097775,0.00097775
13,443.783,0.94135,0.87378,0.95061,0.69497,0.7663,0.78168,0.58118,0.84414,0.79563,0.94977,0.000953,0.000953,0.000953
14,480.569,0.95137,0.87141,0.93716,0.74842,0.6948,0.76941,0.5689,0.86006,0.85095,0.95132,0.00092825,0.00092825,0.00092825
15,513.319,0.93552,0.87683,0.95017,0.8019,0.69565,0.7762,0.5755,0.83263,0.77593,0.94256,0.0009035,0.0009035,0.0009035
16,546.22,0.91084,0.82242,0.9394,0.80887,0.70124,0.7972,0.59698,0.81044,0.74937,0.93995,0.00087875,0.00087875,0.00087875
17,581.911,0.89043,0.8178,0.92831,0.79232,0.68091,0.76649,0.56565,0.83171,0.7796,0.94677,0.000854,0.000854,0.000854
18,614.492,0.86946,0.77695,0.91324,0.83969,0.70922,0.81471,0.60641,0.84354,0.73578,0.95244,0.00082925,0.00082925,0.00082925
19,648.901,0.85586,0.76271,0.91346,0.83317,0.714,0.79674,0.59947,0.84614,0.76118,0.93816,0.0008045,0.0008045,0.0008045
20,684.664,0.87961,0.79604,0.91908,0.83621,0.70032,0.79138,0.60025,0.80408,0.78644,0.91482,0.00077975,0.00077975,0.00077975
21,718.698,0.85657,0.74844,0.91724,0.85496,0.7241,0.81424,0.61817,0.80722,0.73465,0.93392,0.000755,0.000755,0.000755
22,754.031,0.844,0.72253,0.90277,0.83583,0.73745,0.82153,0.61889,0.80249,0.70031,0.92518,0.00073025,0.00073025,0.00073025
23,787.864,0.81362,0.68054,0.89074,0.84762,0.75568,0.83844,0.64934,0.7674,0.66269,0.91037,0.0007055,0.0007055,0.0007055
24,823.525,0.80502,0.68162,0.88963,0.87436,0.73638,0.84765,0.64253,0.75391,0.68464,0.90439,0.00068075,0.00068075,0.00068075
25,856.19,0.82269,0.69933,0.89314,0.86476,0.76865,0.85079,0.66072,0.76154,0.66198,0.90031,0.000656,0.000656,0.000656
26,891.583,0.78379,0.65584,0.8812,0.86536,0.7083,0.83121,0.63453,0.77562,0.68739,0.90673,0.00063125,0.00063125,0.00063125
27,925.737,0.80157,0.66798,0.89041,0.91185,0.70883,0.83905,0.64701,0.74961,0.66472,0.90207,0.0006065,0.0006065,0.0006065
28,958.487,0.80323,0.649,0.89288,0.91586,0.77799,0.86074,0.66513,0.76024,0.65306,0.89561,0.00058175,0.00058175,0.00058175
29,992.497,0.78873,0.62866,0.88058,0.9158,0.73205,0.86897,0.68114,0.7224,0.61751,0.88975,0.000557,0.000557,0.000557
30,1027.68,0.75922,0.61665,0.86632,0.90707,0.76325,0.86295,0.67739,0.73057,0.62765,0.88535,0.00053225,0.00053225,0.00053225
